eng,dzo,eng_to_dzo,dzo_to_eng
"However, new evidence suggests that the Moriori were a group of mainland Maori who migrated from New Zealand to the Chatham Islands, developing their own distinctive, peaceful culture.",ཨིན་རུང་ སྒྲུབ་བྱེད་གསརཔ་དང་འཁྲིལཔ་ད་ མོ་རིའོ་རི་ཚུ་ཡང་ ནིའུ་ཛི་ལེན་ལས་སྦེ་ ཆ་ཐམ་མཚོ་གླིང་ལུ་ གནས་སྤོ་སྟེ་ ཁོང་རའི་དོན་ལས་ གཞན་དང་མ་འདྲ་བའི་ ཞི་བདེའི་ལམ་སྲོལ་གཞི་བཙུགས་འབད་དེ་སྡོད་མི་ ས་ཁོངས་ངོ་མའི་ མཱའོ་རི་སྡེ་ཚན་ཨིནམ་སྦེ་བཀོད་ནུག,ཨིན་རུང་ སྒྲུབ་བྱེད་གསརཔ་དང་འཁྲིལ་བ་ཅིན་ Morioriའདི་ New Zealandལས་ Chatham Islandsལུ་གནས་སྤོ་སྟེ་ ཁོང་རའི་མ་འདྲ་བའི་ཞི་བདེ་གི་ལམ་སྲོལ་བཟོ་མི་ Maoriགི་སྡེ་ཚན་ཅིག་ཨིནམ་སྦེ་བཀོད་ནུག,"However, new evidence suggests that the Morio were also an indigenous Māori group who migrated to Chatham Islands from New Zealand and established a unique and peaceful culture for themselves."
There was also another tribe on the Chatham islands these were Maori who migrated away from New Zealand.,ཆ་ཐམ་མཚོ་གླིང་ཚུ་ནང་ལུ་ མི་རིགས་གཞན་ཅིག་ཡང་སྡོད་ཡོདཔ་དང་ འདི་ཚུ་ཡང་ ནིའུ་ཛི་ལེན་ལས་གནས་སྤོ་སྟེ་འགྱོ་མི་ མཱའོ་རི་ཚུ་ཨིན་མས།,དེ་མ་ཚད་ Chatham མཚོ་གླིང་ནང་ལུ་ མི་རིགས་གཞན་མི་ཅིག་ཡང་ཡོདཔ་ད་ འདི་ཚུ་ཡང་ New Zealand ལས་ ཐག་རིང་སར་ གནས་སྤོ་སྟེ་འོང་མི་ Maori ཚུ་ཨིན་མས།,"The Chatham Islands were inhabited by another people, the Māori who migrated from New Zealand."
"They called themselves the Moriori there were a few skirmishes and in the end, the Moriori were wiped out",ཁོང་ར་གིས་ཁོང་ར་ལུ་མོ་རིའོ་རི་ཟེར་འབོ་ཡོདཔ་དང་ འདི་ཚུ་གི་བར་ན་ འཐབ་འཛིང་དུམ་གྲ་ཅིག་བྱུང་པའི་ཤུལ་མ་ མཐའན་མཇུག་ཁར་ མོ་རིའོ་རི་ཚུ་ རྩ་མེད་བཏང་ཡོདཔ་ཨིན།,དེ་ལས་ ཁོང་གིས་ མོ་རི་ཨོ་རི་ཟེར་སླབ་སྟེ་ འཁྲུག་རྩོད་དག་པ་ཅིག་བྱུང་སྟེ་ མཐའ་མཇུག་ལུ་ མོ་རི་ཨོ་རི་ཚུ་ རྩ་མེད་བཏང་ཡོདཔ་ཨིན།,"They called themselves the Moriori, and after a bit of fighting between them, the Moriori were finally wiped out."
Individuals who had been involved for several decades helped us appreciate our strengths and passions while candidly assessing difficulties and even failures.,ལོ་ངོ་བཅུ་ཕྲག་ལེ་ཤ་ཅིག་གི་རིང་ལུ་ འབྲེལ་གཏོགས་འབད་མི་ ངོ་རྐྱང་ཚུ་གིས་ དཀའ་ངལ་དང་ མཐའ་ན་འཐུས་ཤོར་མི་ཚུ་ སྦ་གསང་མེད་པར་ བལྟ་ཞིབ་འབད་མི་དང་འབྲེལ་ ང་བཅས་ཀྱི་སྟོབས་ཤུགས་དང་ བརྩོན་ཤུགས་ལུ་ ངལ་རངས་སྐྱེད་ནི་ལུ་རྒྱབ་སྐྱོར་འབད་ཡོདཔ་ཨིན།,ལོ་ངོ་བཅུ་ཕྲག་ལས་བཅད་དེ་ འབྲེལ་གཏོགས་འབད་མི་ མི་ངོ་ཚུ་གིས་ དཀའ་ངལ་དང་ འཐུས་ཤོར་ཚུ་ཡང་ གསལ་ཏོག་ཏོ་སྦེ་ བརྟག་ཞིབ་འབད་བའི་སྐབས་ ང་བཅས་རའི་ སྟོབས་ཤུགས་དང་ དགའ་སྤྲོ་ཚུ་ ངོས་འཛིན་འབད་ནི་ལུ་ ཕན་ཐོགས་བྱུང་ནུག།,"Over many decades, the individuals involved have helped us to appreciate our strength and perseverance as we have explored adversity and ultimate failure without hiding."
"While listening to individuals share their individual, family, and organizational stories, we gained valuable insight into the past and some of the personalities who influenced for good or ill the culture of the organization.",མི་ངོ་རྐྱང་ཚུ་གིས་ རང་སོའི་ངོ་རྐྱང་དང་བཟའ་ཚང་དེ་ལས་ ལས་སྡེ་ཚུ་གི་ ལོ་རྒྱུས་ཚུ་བརྗེ་སོར་འབད་མི་ལུ་ ཉན་པའི་སྐབས་ མ་འོངས་པའི་གནས་སྟངས་ཚུ་དང་ ལས་སྡེ་གི་ ལེགས་ཤོམ་དང་ངན་པའི་ལམ་ལུགས་ཚུ་ལུ་ ཤན་ཞུགས་འབད་མི་གི་ངོ་རྐྱང་ཚུ་ཧ་གོ་ཚུགསཔ་ཨིན།,མི་ངོ་རྐྱང་གིས་ ཁོང་རའི་ མི་ངོ་རྐྱང་དང་ བཟའ་ཚང་ དེ་ལས་ ལས་སྡེ་གི་ལོ་རྒྱུས་ཚུ་ བརྗེ་སོར་འབད་མི་ཚུ་ ཉན་པའི་སྐབས་ ང་བཅས་ཀྱིས་ འདས་པའི་དུས་སྐབས་དང་ ལས་སྡེ་གི་ལམ་སྲོལ་ལུ་ ལེགས་ཤོམ་དང་ ངན་པ་ལུ་ ཤན་ཞུགས་འབད་མི་ མི་ངོ་ལ་ལུ་ཅིག་གི་སྐོར་ལས་ བརྩི་མཐོང་ཅན་གྱི་ ཤེས་རྟོགས་ཚུ་ ཐོབ་ཅི།,"By listening to individuals share their personal, family, and organizational stories, it is possible to understand future scenarios and individual influences on positive and negative organizational trajectories."
"While understanding one’s history does not assume understanding of culture, it does at least help people gain a sense of where they fall within the history of the organization.",ཅིག་གི་འབྱུང་རབ་འདི་ཧ་གོ་མི་འདི་གིས་ ལམ་སྲོལ་ཧ་གོ་བའི་ཁོངས་སུ་མི་གཏོགས་ནི་ཨིནམ་དང་ འདི་གིས་ ལས་སྡེ་གི་འབྱུང་རབ་ནང་ལུ་ ག་སྟེ་གི་ཁོངས་སུ་གཏོགསཔ་ཨིན་ན་ ཧ་གོ་ནི་ལུ་ ལྷན་ཐབས་བྱུངམ་ཨིན།,རང་གི་བྱུང་རབས་ཧ་གོ་མི་འདི་གིས་ ལམ་སྲོལ་གྱི་སྐོར་ལས་ཧ་གོ་མི་ཚུགས་རུང་ མི་ཚུ་ལུ་ ལས་སྡེ་གི་བྱུང་རབས་ནང་ལུ་ ག་སྟེ་ལུ་ཚུདཔ་ཨིན་ན་ ཧ་གོ་ནི་ལུ་ཕན་ཐོགས་དོ་ཡོདཔ་ཨིན།,"Understanding one’s history does not necessarily translate into understanding culture, but rather understanding where one belongs in an organization’s history."
"While assessing the successes and becoming aware of failures, individuals and the whole of the participating persons discover more deeply the values, mission, and driving forces of the organization.",གྲུབ་འབྲས་ཚུ་བལྟ་ཞིབ་འབད་མི་དང་ འཐུས་ཤོར་མི་ཚུ་གིས་སྐོར་ལས་ཧ་གོ་མི་དང་འབྲེལ་ ངོ་རྐྱང་ཚུ་དང་འབྲེལ་གཏོགས་འབད་མི་ཚུ་གིས་ ལས་སྡེ་གི་ གཞི་རྩ་དང་ དམིགས་ཡུལ་ཚུ་ དོན་མཐར་ཐུགས་སྦེ་ར་ཧ་གོ་ནི་ལུ་ལྷན་ཐབས་འབད་ནི་ཨིན་མས།,མཐར་འཁྱོལ་ཚུ་དབྱེ་ཞིབ་འབད་བའི་སྐབས་ལུ་ མི་ངོ་རྐྱང་དང་ བཅའ་མར་གཏོགས་མི་ཆ་མཉམ་གྱིས་ ལས་སྡེ་གི་བརྩི་མཐོང་དང་དམིགས་ཡུལ་ དེ་ལས་ འདྲུད་བདའ་མི་གི་ནུས་ཤུགས་ཚུ་ གཏིང་ཟབ་སྦེ་ ཤེས་རྟོགས་འབྱུང་དོ་ཡོདཔ་ཨིན།,"In addition to tracking successes and understanding failures, engaging individuals will help them understand the values and goals of the organization more meaningfully."
"In this instance, recalling previous instances of entrepreneurial behavior and resulting successes helped people to be open to new changes and new direction for the local church.",འ་ནི་གནས་སྟངས་ནང་ལུ་ ཚོང་ལས་སྤྱོད་ལམ་གྱི་ཧེ་མའི་གནས་སྟངས་ཚུ་ དྲན་འཚོར་འབད་ནི་དང་ གྲུབ་འབྲས་ལེགས་ཤོམ་ཐོན་མི་འདི་གིས་ མི་ཚུ་ལུ་ འགྱུར་བ་གསརཔ་ཚུ་ཁ་ཕྱེ་ནི་དང་ ས་གནས་ཀྱི་ཡེ་ཤུའི་ལྷ་ཁང་ནང་འགྱོ་ནི་གི་ ལམ་གསརཔ་བཏོན་ནི་ལུ་ རྒྱབ་སྐྱོར་འབད་འོང་།,གནད་དོན་འདི་ནང་ལུ་ ཧེ་མའི་ཚོང་འབྲེལ་གྱི་སྤྱོད་ལམ་དང་ མཐར་འཁྱོལ་གྱི་གྲུབ་འབྲས་ཚུ་ དྲན་འཚོར་འབད་མི་འདི་གིས་ མི་ཚུ་ ས་གནས་ཀྱི་ལྷ་ཁང་གི་དོན་ལུ་ འགྱུར་བ་གསརཔ་དང་ ལམ་སྟོན་གསརཔ་ཚུ་ལུ་ ཁ་ཕྱེ་ཚུགས་ནུག,"In this context, recalling the antecedents of entrepreneurial behavior and positive outcomes may support people to open new dynamics and chart new paths to local church attendance."
"Such success stories lessened the fears of change, while creating positive inclinations toward change in the future.",འདི་བཟུམ་གྱི་གྲུབ་འབྲས་ཀྱི་ལོ་རྒྱུས་འདི་གི་སྦེ་ མ་འོངས་པའི་འགྱུར་བ་འདི་ལུ་ ངེས་གཏན་གྱི་དང་འདོད་འབྱུང་མི་དང་འབྲེལ་ འགྱུར་བ་འདི་ལུ་འདྲོག་འབྱེལ་འཐབ་ནི་འདི་ མར་ཕབ་འགྱོ་ནི་ཨིན་མས།,འདི་བཟུམ་གྱི་མཐར་འཁྱོལ་གྱི་ལོ་རྒྱུས་ཚུ་གིས་ འགྱུར་བ་གི་འཇིགས་སྣང་འདི་ མར་ཕབ་འབད་ཡོདཔ་མ་ཚད་ མ་འོངས་པ་ལུ་ འགྱུར་བ་ལུ་ སེམས་ཤུགས་བཟང་པོ་ཡང་ བཟོ་ཚུགས་ནུག,"As a result of such a success story, a certain desire for future change may lead to a decrease in fear of change."
Convergent thinking patterns are problem solving techniques that unite different ideas or fields to find a solution.,གཅིག་འཛོམས་ཀྱི་མནོ་བསམ་དཔེ་རིས་འདི་ ཐབས་ཤེས་མ་འདྲཝ་ གཅིག་ཁར་བསྡོམས་ཚུགས་མི་ ཡང་ན་ ཐབས་ཤེས་འཚོལ་བའི་ དཀའ་ངལ་སེལ་མི་གི་རིག་རྩལ་ཚུ་ཨིན་པས།,གཅིག་མཐུན་གྱི་མནོ་བསམ་བཏང་ཐངས་འདི་ ཐབས་ཤེས་འཚོལ་ནི་གི་དོན་ལས་ བསམ་བློ་མ་འདྲཝ་དང་ ཡང་ན་ ལཱ་གཞི་མ་འདྲཝ་ཚུ་ གཅིག་ཁར་བསྡོམས་ཏེ་ དཀའ་ངལ་སེལ་ཐབས་ཀྱི་ ཐབས་རིག་ཅིག་ཨིན།,Convergent thinking patterns are problem-solving skills that integrate different solutions or find solutions.
"The focus of this mindset is speed, logic and accuracy, also identification of facts, reapplying existing techniques, gathering information.",འ་ནི་མནོ་ལུགས་ཀྱི་ དམིགས་གཏད་འདི་ མགྱོགས་ཚད་དང་རིག་པ་ འཛོལ་བ་མེད་མི་དང་བདེན་པ་ངོས་འཛིན་ དེ་ལས་  སྔར་ལས་ཡོད་པའི་ཐབས་ཤེས་ལོག་ལག་ལེན་འཐབ་ནི་དང་ བརྡ་དོན་ལེན་ཚུ་ཨིན་མས།།,འ་ནི་བསམ་བློ་འདི་གི་དམིགས་ཡུལ་འདི་ མགྱོགས་ཚད་དང་ཚད་མ་དང་ འཛོལ་བ་མེདཔ་ དེ་ལས་ བདེན་པ་ངོས་འཛིན་འབད་ནི་དང་ ད་ལྟོ་ཡོད་པའི་ཐབས་ལམ་ཚུ་ ལོག་སྟེ་ལག་ལེན་འཐབ་ནི་ བརྡ་དོན་བསྡུ་ལེན་འབད་ནི་ཚུ་ཨིན།,"The goals of this type of thinking are speed, intelligence, accuracy, truth recognition, reuse of existing strategies, and retrieval of information."
"The most important factor of this mindset is: there is only one correct answer. You only think of two answers, namely right or wrong.",མནོ་ལུགས་འདི་གི་ རྒྱུ་རྐྱེན་གལ་ཆེ་ཤོས་རང་ ལན་ བདེན་པ་གཅིག་རྐྱངམ་གཅིག་ཡོདཔ་ལས་ ཁྱོད་ཀྱིས་ བདེན་རྫུན་གྱི་ལན་གསལ་རྐྱངམ་ཅིག་ མནོ་སྡོད་དོ་ཡོདཔ་ཨིན།,སེམས་ཁམས་འདི་གི་གལ་ཆེ་ཤོས་འདི་ ལན་བདེན་པ་གཅིག་རྐྱངམ་ཅིག་ཡོདཔ་ཨིན། ཁྱོད་ཀྱིས་ལན་གཉིས་རྐྱངམ་ཅིག་མནོ་བསམ་གཏང་དགོཔ་ཨིན་ དེ་ཡང་ བདེན་པ་དང་འཛོལ་བ་ཨིན།,The most important cause of this thinking is that there is only one right answer and you are thinking only true and false answers.
This type of thinking is associated with certain science or standard procedures.,འདི་བཟུམ་མའི་ མནོབསམ་འདི་ ཚན་རིག་དང་ ཡང་ན་ ཚད་ལྡན་གྱི་བྱ་སྒོའི་རིམ་པ་དག་པ་ཅིག་དང་ འབྲེལ་བ་ཡོདཔ་ཨིན།,འདི་བཟུམ་གྱི་མནོ་བསམ་བཏང་ཐངས་འདི་ མཚོན་རིག་དང་ ཡང་ན་ གནས་ཚད་དང་ལྡན་པའི་བྱ་རིམ་ལ་ལུ་ཅིག་དང་འབྲེལ་བ་ཡོདཔ་ཨིན།,Such thinking is associated with few scientific or standard procedures.
"People with this type of thinking have logical thinking, are able to memorize patterns, solve problems and work on scientific tests.",འདི་བཟུམ་མའི་ མནོ་བསམ་གཏང་ཐངས་ཡོད་མི་ཚུ་ལུ་ རྒྱུ་མཚན་ལྡན་པའི་མནོ་བསམ་གཏང་ཐངས་ཡོདཔ་ལས་ དཔེ་རིས་ཚུ་བློ་ལུ་གཟུང་ནི་ནང་ རྩིས་རྐྱབ་ཐངས་ཚུ་ཤེས་དོ་ཡོདཔ་མ་ཚད་ ཚན་རིག་གི་བརྟག་དཔྱད་ཚུ་ཡང་ འབད་དོ་ཡོདཔ་ཨིན།,འདི་བཟུམ་གྱི་མནོ་བསམ་བཏང་མི་ཚུ་ལུ་ ཚད་མ་རིག་པའི་མནོ་བསམ་བཏང་ཚུགསཔ་མ་ཚད་ དཔེ་རིས་ཚུ་ སེམས་ཁར་བཞག་ཚུགསཔ་མ་ཚད་ དཀའ་ངལ་སེལ་ཚུགསཔ་མ་ཚད་ མཚོན་རིག་གི་བརྟག་དཔྱད་ཚུ་ཡང་ འབད་ཚུགསཔ་ཨིན།,"People with this type of thinking have logical thinking skills, they learn how to do calculations, memorize patterns, and perform scientific experiments."
Humans are by far the most talented species in reading the minds of others.,མི་ཚུ་ གཞན་གྱི་སེམས་ཚུ་ཧ་གོ་ཚུགས་པའི་ ལྕོགས་གྲུབ་ཅན་གྱི་རིགས་མཚན་མཁས་པ་ཨིན།,མི་ཚུ་ གཞན་གྱི་སེམས་ཁམས་ལྷག་ཚུགས་པའི་ རིག་རྩལ་ཅན་གྱི་རིགས་སྣ་ཅིག་ཨིན།,Humans are genetically gifted with the ability to understand other people’s minds.
"That means we are able to successfully predict what other humans perceive, intend, believe, know or desire.",འ་ནི་འབདཝ་ད་ ང་བཅས་ཀྱིས་ མི་གཞན་ཅིག་གི་སེམས་ཁར་ག་ཅི་ཡོདཔ་ཨིན་ན་དང་ ག་ཅི་མནོཝ་ཨིན་ན་ ཡིད་ཆེས་ག་དེ་སྦེ་སྐྱེདཔ་ཨིན་ན་དང་ ག་ཅི་ཤེསཔ་ཨིན་ན་ ཡང་ན་ འདོད་པ་ག་ཅི་ཡོདཔ་ཨིན་ན་ཚུ་ག་ར་ ལེགས་ཤོམ་སྦེ་ར་ སྔོན་རྟགས་འབད་ཚུགས་ནི་ཨིན་མས།,འདི་ཡང་ ང་བཅས་ཀྱིས་ གཞན་མི་མི་ཚུ་གིས་ ག་ཅི་མཐོངམ་ཨིན་ན་ དམིགས་ཡུལ་ ཡིད་ཆེས་ ཤེས་ ཡང་ན་ རེ་འདོད་བསྐྱེད་མི་ཚུ་ མཐར་འཁྱོལ་ཅན་ཅིག་སྦེ་ སྔོན་དཔག་འབད་ཚུགསཔ་ཨིན།,"This means that we can pretty much predict everything that is in another person’s mind, what they think, how they believe, what they know, or what they desire."
"Among these abilities, understanding the intention of others is crucial. It allows us to resolve possible ambiguities of physical actions.",འ་ནི་ལྕོགས་གྲུབ་ཚུ་གི་གྲལ་ལས་ གཞན་གྱི་བསམ་པའི་རེ་བ་ག་ཅི་ཡོདཔ་ཨིན་ན་ ཧ་གོ་དགོཔ་འདི་ ཁག་ཆེ་ཤོས་ཅིག་ཨིན། འདི་གིས་ ཕྱི་གཟུགས་ཀྱི་བྱེད་ལས་ཚུ་གི་ གོ་དོན་རྙོག་དྲག་ཡོད་མི་ཚུ་ བསལ་ནི་ལུ་ལྷན་ཐབས་འབད་ནི་ཨིན་མས།,ལྕོགས་གྲུབ་འདི་ཚུ་གི་གྲལ་ལས་ གཞན་གྱི་དམིགས་ཡུལ་ཧ་གོ་ནི་འདི་ གལ་ཆེ་ཤོས་ཅིག་ཨིན། འདི་གིས་ ང་བཅས་ལུ་ གཟུགས་ཀྱི་བྱ་བ་ཚུ་གི་ གསལ་ཏོག་ཏོ་མེད་མི་ཚུ་ བསལ་བཅུགཔ་ཨིན།,"Among these capabilities, it is important to understand what others’ intentional expectations are. This will help to unravel the complexity of physical actions."
"For example, if you were to see someone breaking a car window, you would probably assume he was trying to steal a stranger’s car.",དཔེ་འབད་བ་ཅིན་ ཁྱོད་ཀྱིས་ མི་ལ་ལུ་ཅིག་གིས་སྣུམ་འཁོར་ཀཱར་གྱི་སྒོ་སྒྲིག་བཅག་དོ་ཡོདཔ་སྦེ་མཐོང་པ་ཅིན་ ཁྱོད་ཀྱིས་ འ་ནི་མི་འདི་གིས་ སྣུམ་འཁོར་ཀཱར་ཨརཝ་བརྐུ་ནིའི་དཔའ་བཅམ་དོ་ཡོདཔ་སྦེ་ སེམས་ཁར་ཤར་ཚུགས་ནི་ཨིན་མས།,དཔེར་ན་ མི་གཅིག་གིས་ སྣུམ་འཁོར་གྱི་སྒོ་སྒྲིག་བརྡལ་བཤིག་གཏང་མི་འདི་ མི་གཞན་ཅིག་གི་སྣུམ་འཁོར་ཨརཝ་བརྐུ་ནི་གི་དཔའ་བཅམ་དོ་ཡོདཔ་སྦེ་ མནོ་བསམ་གཏང་འོང་།,"For example, if you see someone breaking a car window, you might imagine that this person is trying to steal a car."
He would need to be judged differently if he had lost his car keys and it was his own car that he was trying to break into.,དེ་མེན་པར་ ཁོ་རའི་སྣུམ་འཁོར་གྱི་ལྡེ་མིག་བུ་འདི་བྱང་སྟེ་ཡོདཔ་དང་ ཁོ་རའི་སྣུམ་འཁོར་འདི་བཅག་དོ་ཡོདཔ་སྦེ་ཨིན་པ་ཅིན་ སོ་སོ་ཅིག་སྦེ་ར་ དབྱེ་དཔྱད་འབད་དགོཔ་ཨིན།,གལ་སྲིད་ ཁོ་གིས་ སྣུམ་འཁོར་གྱི་ལྡེ་མིག་ཚུ་ བརླག་སྟོར་ཤོར་ཏེ་ རང་སོའི་སྣུམ་འཁོར་ནང་ བརྡུང་རྫོབ་འབད་ནི་གི་ དཔའ་བཅམ་སྟེ་ཡོད་པ་ཅིན་ སོ་སོ་སྦེ་ དབྱེ་ཞིབ་འབད་དགོཔ་ཨིན་པས།,"Instead, it would have to be analyzed differently if he had lost his car keys and was breaking into his car."
"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University).",ཨེམ་ཨར་ཨའི་འདི་ ནིའུ་ཀིལི་ཡར་མེག་ནེ་ཀྲིག་རི་སོ་ནཱེནསི་ ༼ཨེན་ཨེམ་ཨཱར་༽ ཟེར་མི་ དངོས་གཟུགས་ཀྱི་གནད་གཞི་ཅིག་ཨིནམ་དང་ འདི་ཡང་སྤྱི་ལོ་༡༩༣༠ལོ་གྲངས་ལུ་ ཕོ་ལེགསི་བཱོལོཆ་༼ཨིསི་ཀྲེན་ཕོརཊ་གཙུག་ལག་སློབ་སྡེ་ནང་ལཱ་འབད་མི་༽ དང་ ཨིད་ཝཱགྲ་པཱར་སེལ་༼ཧཱར་བཱརགྲ་གཙུག་ལག་སློབ་སྡེ་ལས་༽ གིས་གསར་འཚོལ་འབད་ཡོདཔ་ཨིན།,ཨེམ་ཨར་ཨའི་འདི་ སྤྱི་ལོ་༡༩༣༠ ལོ་གྲངས་ནང་ ཕེ་ལིགསི་བཱོལཆ་ ༼ཨིསི་ཊེན་ཕོརཌ་གཙུག་ལག་སློབ་སྡེ་ནང་ལཱ་འབད་མི་༽ དང་ ཨེ་ཌི་ཝརཌ་པཱར་སེལ་ ༼ཧར་ཝརཌ་གཙུག་ལག་སློབ་སྡེ་ལས་༽ གཉིས་ཀྱིས་ གསར་འཚོལ་འབད་མི་ རྡུལ་ཕྲན་མེག་ནི་ཊིག་རེ་ཟོན་ནེནསི་ (NMR) ཟེར་མི་ དངོས་ཁམས་རིག་པའི་ རིག་ཚོད་ལུ་གཞི་བཞག་སྟེ་ཨིན་མས།,"MRI is a physical phenomenon known as Nuclear Magnetic Resonance (NMR), which was discovered in the 1930s by Flex Bloch (who worked at Stanford University) and Edwards (University of Brussels)."
"In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals.",འ་ནི་སྒྲ་སྐད་ཀྱི་སྤུས་ཚད་ནང་ལུ་ མེག་ནེ་ཀྲིག་ཕིལདྲ་དང་ རེ་དྲིའོ་ཝེབསི་གིས་ རེ་དྲིའོ་བརྡ་རྟགས་ཆུང་ཀུ་བྱིན་ནི་གི་དོན་ལས་ རྡུལ་རྟེན་ཚུ་ཐོནམ་ཨིན་མས།,འ་ནི་སྒྲ་དབྱངས་ནང་ལུ་ མེག་ནི་ཀྲིག་ས་སྒོ་དང་ རེ་ཌིའོ་རླབས་ཚུ་གིས་ རྡུལ་ཕྲན་ཚུ་གིས་ རེ་ཌིའོ་བརྡ་ཚན་ཆུང་ཀུ་ཅིག་བཏོནམ་ཨིན།,"In this acoustic quality, magnetic fields and radio waves produce molecules to give off small radio signals."
"In the year 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for using magnetic resonance imaging as a tool for medical diagnosis.",སྤྱི་ལོ་༡༩༧༠ལུ་ གསོ་བའི་དྲོག་ཀྲར་དང་ ཞིབ་འཚོལ་གྱི་མཚོན་རིག་མཁས་པ་ཅིག་ཨིན་མི་ རེ་མཱོནདྲ་དྲ་མ་དྲིའན་གིས་ མེག་ནེ་ཀྲིག་རི་སོ་ནཱེནསི་ཨི་མེ་ཇིང་འདི་ གསོ་བའི་བརྟག་ཞིབ་ཀྱི་དོན་ལས་ ལག་ལེན་འཐབ་ནི་གི་ གཞི་བརྟེན་འདི་ གསར་འཚོལ་འབད་ཡོདཔ་ཨིན།,སྤྱི་ལོ་༡༩༧༠ ལུ་ གསོ་བའི་སྨན་པ་དང་ ཞིབ་འཚོལ་ཚན་རིག་པ་ རེ་མཱོན་ཌ་མ་ཌི་ཡན་གྱིས་ གསོ་བའི་བརྟག་དཔྱད་ཀྱི་ ལག་ཆ་ཅིག་སྦེ་ མེག་ནི་ཊིག་རེ་ཛོན་ནེནསི་པར་རིས་ལག་ལེན་འཐབ་ནི་གི་ གཞི་རྟེན་ཅིག་ གསར་འཚོལ་འབད་ནུག།,"In 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for the use of magnetic resonance imaging for medical assessment."
"Four years later a patent was granted, which was the world's first patent issued in the field of MRI.",ལོ་བཞི་གི་ཤུལ་མ་ བདག་དབང་འདི་སྤྲོད་ཡོདཔ་དང་ འདི་ཡང་ འཛམ་གླིང་ནང་ལུ་ ཨེམ་ཨཱར་ཨའི་གི་ནང་ བདག་དབང་སྤྲོད་མི་འགོ་དང་པ་ཅིག་ཨིན་མས།,ལོ་༤ གི་ཤུལ་ལས་ བདག་དབང་ཐོབ་ཡོདཔ་ད་ འདི་ཡང་ འཛམ་གླིང་ནང་ ཨེམ་ཨར་ཨའི་གི་ བདག་དབང་འགོ་དང་པ་ཅིག་ཨིན་པས།,"The patent was granted four years later, making it the world’s first patent in MRI."
"In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.",སྤྱི་ལོ་༡༩༧༧ལུ་ དྲོག་ཀྲར་དྲ་མ་དྲིའན་གིས་ འགོ་དང་པ་ གཟུགས་ག་ར་དབྱེ་དཔྱད་འབད་ནི་གི་ ཨེམ་ཨཱར་ཨའི་འཕྲུལ་ཆས་འདི་ བཟོ་བཀོད་འབད་ཚར་ཏེ་ཡོདཔ་དང་ འདི་གི་མིང་ཡང་ ཨིན་དྲོ་མི་ཀྲེ་བཱལ་ཟེར་བཏགས་ཡོདཔ་ཨིན།,སྤྱི་ལོ་༡༩༧༧ ལུ་ ཌོག་ཊར་ ཌ་མ་ཌི་ཡན་གྱིས་ “གཟུགས་ཆ་མཉམ་གྱི་” ཨེམ་ཨར་ཨའི་ པར་འཕྲུལ་འགོ་དང་པ་བཟོ་བསྐྲུན་འབད་ཚར་ཏེ་ དེ་ལུ་ ”Indomitable” ཟེར་སླབ་ནུག།,"By 1977, Dr. Damadian had completed the design of the first full-body MRI machine, which he named Indomitable."
Asynchronous communication encourages time for reflection and reaction to others.,དུས་མཉམ་དུ་མེན་པའི་བརྡ་དོན་བརྒྱུད་འབྲེལ་འདི་གིས་ གཞན་ལུ་བརྡ་མཚོན་དང་ གདོང་ལེན་གྱི་དུས་ཚོད་ལུ་ སེམས་ཤུགས་བྱིནམ་ཨིན།,དུས་མཉམ་མིན་པའི་བརྒྱུད་འབྲེལ་གྱིས་ གཞན་ལུ་བསམ་ཞིབ་དང་ ལན་ལོག་འབད་ནི་གི་དུས་ཚོད་ལུ་ སེམས་ཤུགས་བྱིནམ་ཨིན།,Asynchronous virtual communication encourages others at times of signaling and confrontation.
It allows students the ability to work at their own pace and control the pace of instructional information.,འདི་གིས་སློབ་ཕྲུག་ཚུ་ རང་སོའི་ལྕོགས་གྲུབ་དང་བསྟུན་ འབྱོག་ཚད་དང་བཀོད་བྱ་གི་བརྡ་དོན་འབྱོག་ཚད་ ཚད་འཛིན་འབད་ནི་གི་དལ་དབང་བྱིནམ་ཨིན།,སློབ་ཕྲུག་ཚུ་ལུ་ རང་སོའི་མགྱོགས་ཚད་ནང་ལཱ་འབད་ཚུགས་པའི་ ལྕོགས་གྲུབ་དང་ སློབ་སྟོན་བརྡ་དོན་གྱི་མགྱོགས་ཚད་ཚད་འཛིན་འབད་ཚུགས།,This gives students the freedom to control the pace and pace of instructional information according to their own ability.
