eng,dzo
Karma told Mary that he didn't believe in astrology.,ཀརྨ་གི་མེ་རི་ལུ་ ཁོ་རྩིས་ལུ་ཡིད་མི་ཆེས་བས་ཟེར་སླབ་ཅི།
Karma turned on the small lamp on his bedside table.,ཀརྨ་གིས་ཁོ་གི་ཉལ་ཁྲི་ཟུར་ཁའི་ཅོག་ཙེ་ཐོག་ཁར་ སྒྲོན་མེ་ཆུང་ཀུ་འདི་བཏེག་ནུག
Karma usually gives easy-to-understand explanations.,ཀརྨ་གིས་ནམ་རྒྱུན་འཇམ་ཏོང་ཏོ་སྦེ་ཧ་གོ་ཚུགས་པའི་འགྲེལ་བཤད་ཚུ་བྱིནམ་ཨིན།
Karma wanted Mary to stay at home with the children.,ཀརྨ་གི་རེ་འདོད་འདི་ མེ་རི་ཨ་ལུ་ཚུ་དང་གཅིག་ཁར་ཁྱིམ་ནང་སྡོད་དགོཔ་སྦེ་ཨིན་མས།
Karma wants to live in the country after he retires.,ཀརྨ་ཁོ་ར་དགོངསམ་ཞུ་བའི་ཤུལ་ལས་ རྒྱལ་ཁབ་ནང་ར་སྡོད་ནི་རེ་འདོད་ཨིན་མས།
Karma was apparently murdered while he was sleeping.,ཀརྨ་ཁོ་ར་ཉལ་སྡོད་པའི་སྐབས་དམར་གསད་འབད་ཡོད་པའི་མངོན་གསལ་བྱུང་ཡི།
Karma was obviously worried about what might happen.,ཀརྨ་ག་ཅི་འབད་འོང་ག་གསལ་ཏོག་ཏོ་གུ་ ཚ་གྱང་ཕོག་ནུག
Karma was stabbed to death by someone on the subway.,ཀརྨ་འདི་མི་ཅིག་གི་ས་འོག་ལམ་ཁར་གྱི་གསོབ་སྟེ་ཤི་ནུག
Karma was there for me when I really needed someone.,ང་མི་ཅིག་གནམ་མེད་ས་མེད་དགོ་པའི་སྐབས་ ངེ་དོན་ལས་ཀརྨ་སྡོད་ཡི།
Karma went to the drugstore to buy some cough syrup.,ཀརྨ་སྨན་ཚོང་ཁང་ནང་ གློ་ནད་སྨན་ཁུ་ལེན་པ་ཡར་སོ་ཡི།
Karma will leave the company at the end of the year.,ཀརྨ་གི་ལོ་མཇུག་བསྡུཝ་ད ་ལས་སྡེ་འདི་ན་ལས་འཐོན་འགྱོ་ནི་མས།
Karma's gotten fatter since the last time I saw him.,ཀརྨ་འདི་ང་གིས་གདང་ཞག་མཐོང་བའི་དུས་ཚོད་ལས་ ད་རེས་ཧེང་བཀལ་ཉམས་བཏགས་ནུག།
Karma's injuries aren't considered life-threatening.,ཀརྨ་གི་རྨ་བཏོན་ཚུ་ མི་ཚེ་ལུ་ཉེན་ཁ་མེདཔ་སྦེ་ཆ་བཞགཔ་ཨིན་མས།
Karma's parents got divorced when he was very young.,ཀརྨ་གི་ཕམ་ ཁོ་ར་ལོ་གཞོནམ་འབད་སྡོདཔ་ད་ཁ་འབྱེལ་ནུག།
"Karmaorrow, God willing, we'll be with your parents.",ནངས་པ་ ལྷའི་ཐུགས་རྗེ་ལས་ ང་བཅས་ཁྱོད་ཀྱི་ཕམ་དང་གཅིག་ཁར་སྡོད་འོང་།
"When the last cusKarmaer leaves, we close the doors.",ཚོང་ཉོ་མི་མཇུག་འགྱོཝ་ཚརཝ་ད་ ང་བཅས་སྒོ་བསྡམ་ཨིན།
You need to stop ignoring email messages from Karma.,ཁྱོད་ཀྱི་ཀརྨ་གིས་བཏང་མི་འགྲེམས་ཡིག་ཚུ་ སྣང་མེད་བསྐྱུར་བཞག་ནི་འདི་བཞག་དགོ་པས།
"You tried to stop Karma from doing that, didn't you?",ཁྱོད་ཀྱི་ ཀརྨ་འ་ནི་ལཱ་འབད་ནི་ལས་བཀག་ནི་ལུ་རྩ་འགེངས་ཡི  མ་འབད་ཡ་ཁྱོད་ཀྱི།
A beautiful woman was seated one row in front of me.,བུམོ་འཇའ་རིསམོ་གཅིག་ ངེ་གི་གདོང་ཁ་ལས་་གྱལ་རིམ་གཅིག་གི་ཧེ་མ་སྡོད་ནུག།
A caged cricket eats just as much as a free cricket.,དྲྭ་ཁྱིམ་ནང་གི་འབུཔ་ཀྲྀ་ཀྲེཊ་གི་ཕྱི་ཁའི་ཀྲྀ་ཀྲེཊ་འབུཔ་ག་དེ་ཅི་ཟ་ཚུགསཔ་ཅིག་ཟ་དེས།
A clear conscience is the sure sign of a bad memory.,རྣམ་རིག་གསལ་རི་རི་འདི་ ཐད་རི་བ་རི་དྲན་ཤེས་སྐྱོ་སྐྱོཝ་གི་རྟགས་ཨིན།
A drunk driver was responsible for the car accident.,སྣུམ་འཁོར་འཐུ་རྐྱེན་གྱི་རྒྱུ་རྐྱེན་འདི་ཆང་གི་འགྲངས་འགྲངསམ་གི་འདོད་གཡོག་ལུ་ཕོག།
A dye was injected into a vein of the patient's arm.,ཚོས་འདི་ནདཔ་གི་ལག་ངར་གི་ཁྲག་རྩ་ནང་བཙུགས་ནུག
A fire broke out at the inn where they were staying.,མེ་འདི་ཁོང་སྡོད་སའི་གནས་ཁང་ནང་ལས་འབར་ཡི།
A large amount of money was spent on the new bridge.,ཟམ་པ་གསརཔ་གི་དོན་ལུ་ མ་དངུལ་ལེ་ཤ་བཏང་ནུག།
A lot of people are now trying to sell their houses.,ད་རེས་ནངས་པ་ མི་མང་ཤོས་ར་ ཁོང་རའི་ཁྱིམ་བཙོང་ནི་དཔའ་བཅམ་དེས།
A man was complaining of something in a sharp voice.,ཕོ་རྒས་གཅིག་ ག་ཅི་ཅིག་གི་སྐོར་ལས་ སྐད་ཤུགས་སྦེ་ ཉོག་བཤད་བཀོད་དེས།
A man who wanted to see you came while you were out.,ཁྱོད་ཕྱེད་ནི་ཨིན་མི་ཕོ་རྒས་འདི་ ཁྱོད་་ཕྱི་ཁ་འགྱོ་བའི་སྐབས་འོང་ཡི།
A plastic cup is better than one made of real glass.,ཤེལ་ངོ་མ་གི་བཟོ་ཡོད་པའི་ཕོརཔ་ལས་ འགྱིབ་ཀྱི་བཟོ་ཡོད་པའི་ཕོརཔ་འདི་ལེ་ཤ་གི་དྲག་པས།
A poet looks at the world as a man looks at a woman.,ཕོ་རྒས་གཅིག་ཨམ་སྲུ་ལུ་བལྟ་བའི་བསྒང་སྙན་ངག་མཁན་འདི་འཛམ་གླིང་ལུ་བལྟ་དེས།
A preliminary hearing is scheduled for October 20th.,ལྟ་གོན་སྙན་གསན་འདི་ ཟླ་བཅུ་པའི་ཚེས་ ༢༠་ལུ་ལས་རིམ་བཟོ་ནུག
A wise businessman knows how to clamp down on costs.,ཚོང་པ་བློ་རིག་ཅན་གྱིས་ རིན་ངོ་ཚུ་སྒྲིང་སྒྲིང་བཏབ་ཤེས་པས།
Actually it might be a good idea to start right now.,ངོ་མ་འབད་བ་ཅིན་ ད་ལྟོ་ར་འགོ་བཙུགས་ནི་འདི་གནས་སྐབས་ལེགས་ཤོམ་ཅིག་མེན་ན།
"After hearing the sad news, she broke down in tears.",སེམས་སྐྱོ་བའི་གནས་ཚུལ་གོ་བའི་ཤུལ་ལས་ ཁོ་མིག་ལས་མིག་ཆུ་ཤོར་ཡི།
"After some hesitation, he laid the book on the desk.",ཐེ་ཚོམ་ཨ་ཙིག་གི་ཤུལ་ལས་ ཁོ་གིས་དཔེ་དེབ་འདི་དྲན་པ་བཏོན་ཏེ་འབྲི་ཁྲི་ཐོག་ཁར་བཞག་ཡི།
"After we walked for a while, we arrived at the lake.",རྐང་ཐང་ཨ་ཙིག་འགྱོ་བའི་ཤུལ་ལས་ ང་བཅས་མཚོ་ཡོད་སར་ལྷོད་ཅི།
Aiding and abetting the enemy is considered treason.,དགྲ་བྱང་ཕྱད་གྲོགས་རམ་དང་ངན་སྐུལ་འབད་ནི་འདི་ རྒྱལ་ཁབ་ལུ་ངོ་ལོག་མི་སྦེ་བརྩིཝ་ཨིན།
"All of a sudden, three dogs appeared in front of us.",ག་ར་ཧང་ཏོམ་མར་ རོ་ཁྱི་གསུམ་ང་བཅས་ཀྱི་གདོང་ཁར་འཐོན་འོང་ཡི། /འབྱུང་འོང་ཡི།
All of my great-grandparents died before I was born.,ང་གི་ཨ་རྒས་ཨང་རྒས་སྦོམ་ཚུ་ག་ར་ ང་མ་སྐྱེས་བའི་ཧེ་མ་ལས་ཤི་སོང་ནུག།
"Along with thousands of others, he fled the country.",གཞན་སྟོང་ཕྲག་དང་མཉམ་དུ་ ཁོ་རྒྱལ་ཁབ་ནང་ལས་བྱོག་འགྱོ་ཡི།
Are you sure you want to put your life in her hands?,ཁྱོད་ངེས་བདེན་ཨིན་ན་ ཁྱོད་ཀྱི་མི་ཚེ་འདི་མོ་གི་ལག་པར་བཀལ་ནི་ཟེར?
Aren't you hot? Why don't you take off your sweater?,ཁྱོད་ཚདཔ་མ་ཚད་ཡ? ཁྱོད་ཀྱི་ཨོམ་སོ་ཁེན་ཇ་ག་ཅི་སྦེ་མ་ཕུདཔ་སྨོ?
Armenia joined the World Trade Organization in 2003.,ཨར་མི་ནི་ཡའི་རྒྱལ་ཁབ་འདི་ འཛམ་གླིང་ཚོང་འབྲེལ་ལས་ཁུངས་ནང་ ༢༠༠༣་ལུ་འཛུལ་ཡི།
"As soon as she heard the news, she burst into tears.",མོ་གི་གནས་ཚུལ་འདི་གོ་བའི་འཕྲལ་ལས་ར་ མོ་མིག་ཆུ་ཚར་གཅིག་གུ་འཐོན་ཡི།
Attach a recent photograph to your application form.,ཁྱོད་ཀྱི་ཞུ་ཡིག་དང་གཅིག་ཁར་ད་རེས་ཁམས་ཅིག་གི་འདྲ་པར་སྦྱར།
"Be quiet. If you aren't quiet, you'll be thrown out.",ཁུ་སིམ་སིམ་སྦེ་སྡོད་ ཁྱོད་ཁུ་སིམ་སིམ་མ་སྡོད་པ་ཅིན་ ཁྱོད་ཕྱི་ཁར་བཏོན་བཏང་འོང་མས།
Buying such an expensive car is out of the question.,གོང་ཆེ་བའི་སྣུམ་འཁོར་འདི་བཟུམ་ཉོ་ནི་འདི་ འདྲི་བ་ལས་ཕྱི་ཁར་ཨིན།
Can you briefly sum up what was said at the meeting?,ཞལ་འཛོམས་ནང་ག་ཅི་སླབ་ཅི་ག་ ཁྱོད་ཀྱི་བཅུད་བསྡུ་སྟེ་སླབ?
Can you imagine what life will be like for them now?,ཁྱོད་ཀྱིས་ ད་ལྟོ་ཁོང་གི་མི་ཚེ་འདི་ག་བཟུམ་ཅིག་འོང་ག་ མནོ་བསམ་བཏང་ཚུགས་པས་ག?
Can you please take this package to the post office?,ཁྱོད་ཀྱིས་འ་ནི་ལག་རྟགས་འདི་འགྲེམས་ཁང་ནང་འབག་གནང་ས?
Can you teach me how to play the guitar like you do?,ཁྱོད་ཀྱིས་སྒྲ་སྙན་རྩེད་དོ་བཟུམ་ ང་ལུ་སྟོན་བྱིན་འོང་ག?
Canadian officials weighed the supplies of each man.,ཀེ་ན་ཌཱཡན་གྱི་འགོ་དཔོན་ཚུ་གིས་ ཕོ་རྒས་རེ་རེ་གི་བཀྲམ་སྤེལ་འཇལ་ཡི།
Complaining about something doesn't change anything.,ག་ཅི་ཅིག་གི་སྐོར་ལས་ཉོག་བཤད་འདི་གིས་ ག་ཅི་ལུ་ཡང་འགྱུར་བ་མི་འོང་པས།
Could you lend me your bicycle for a couple of days?,ཁྱོད་ཀྱི་རྐང་འཁོར་འདི་ ཉིནམ་དག་པ་ཅིག་གི་རིང་ལུ་ ང་བརྙ་བཅུག་འོང་ག?
Could you please give me some more examples of that?,ཁྱོད་ཀྱིས་ང་ལུ་ འདི་གི་དཔེ་ཨ་ཙིག་མངམ་གནང་འོང་ག?
Could you tell me how to get to the nearest station?,ཁྱོད་ཀྱི་ང་ལུ་ མཐའ་ཉེ་ཤོས་ཀྱི་ཞབས་ཏོག་ལྟེ་བ་ནང་ག་དེ་སྦེ་ལྷོད་ཚུགས་ག་སླབ་འོང་ག?
"Curiously, a flower bloomed on the withered up tree.",ཤེས་འདོད་ཀྱིས་ ཤིང་བསྐམ་གུ་མེ་ཏོག་ཤར་ནུག
"Daddy, can you read me a story before I go to sleep?",ཨ་པ་ ཁྱོད་ཉལ་བར་མ་འགྱོ་བའི་ཧེ་མ་ ང་ལུ་སྲུང་ཅིག་ལྷག་འོང་ཡ?
Did you know that some foxes lived on this mountain?,འ་དོམ་ལ་ལུ་གངས་རི་འདི་ནང་སྡོདཔ་ཨིནམ་ཁྱོད་ཀྱི་ཤེས་ག?
Did you learn to speak French when you were a child?,ཁྱོད་ཨ་ལུ་སྦེ་སྡོད་པའི་བསྒང་ལས་ར་ ཕྲེནཅ་གི་བློ་སླབ་ནི་ལྷབ་ཅི་ག?
Do unto others as you would have others do unto you.,གཞན་ལོག་བཤུབ་  ཁྱོད་ལུ་གཞན་གྱི་ལོག་བཤུབ་འབད་དོ་བཟུམ།
Do you intend to answer all my questions truthfully?,ཁྱོད་ཀྱིས་ངེ་གི་འདྲི་བ་ཚུ་ག་ར་བདེན་པ་སྦེ་ལན་རྐྱབ་ནི་མནོ་བསམ་བཏང་འོང་?
Do you know which deity this temple is dedicated to?,ལྷ་ཁང་འདི་ཆོས་སྲུང་ག་ཅི་གི་ཆེད་བརྩོན་འབད་འོང་ག་ ཁྱོད་ཀྱི་ཤེས་ག?
Do you really think I had something to do with that?,ཁྱོད་ཀྱི་འབད་བ་ཅིན་ ང་གིས་འདི་དང་གཅིག་ཁར་ག་ཅི་ཅིག་འབད་འོང་ཟེར་མནོ་བསམ་བཏང་མས་ཡ?
Do you think a little salt would improve the flavor?,ཁྱོད་ཀྱི་ ཚ་ཨ་ཙི་ཅིག་གིས་ བྲོཝ་ཡར་དྲག་བཏང་འོང་ཟེར་མནོ་མས་ཡ?
Do you think something like that will repeat itself?,ཁྱོད་ཀྱིས་ ག་ཅི་ཅིག་འདི་བཟུམ་ ཡང་བསྐྱར་འཐོན་འོང་ཟེར་མནོ་མས་ཡ?
Don't make any noise or you'll scare the birds away.,འུར་སྐད་མ་བཟོ་ཡང་ན་ ཁྱོད་ཀྱི་བྱ་ཚུ་འདྲོག་སྟེ་ཕུར་འགྱོ་བཅུག་ནི་མས།
Don't pretend you don't know what I'm talking about.,ང་གི་ག་ཅི་སླབ་ཨིན་ན་ ཁྱོད་ཀྱི་མ་ཤེསཔ་བཟུམ་མ་བཏབ།
Don't push your child into any vocation he dislikes.,ཁྱོད་ཀྱིས་ཁྱོད་རའི་ཨ་ལུ་ཚུ་ ཁོ་ར་མ་དགའ་བའི་ལག་གཡོག་ཚུ་ནང་ཨུ་ཚུགས་མ་རྐྱབ།
Don't translate English into Japanese word for word.,ཨིང་སྐད་འདི་ཇཱ་པན་གྱི་སྐད་ལུ་ ཚིག་ལས་ཚིག་སྐད་སྒྱུར་མ་རྐྱབ།
Don't you have anything better to do with your time?,ཁྱོད་ཀྱིས་དུས་ཚོད་ལུ་ ག་ཅི་འབད་རུང་དྲགཔ་ཅིག་འབད་ནི་མེད་ག?
Don't you think it odd that she was in such a hurry?,ཁྱོད་ཀྱི་མི་མནོ་བས་ཡ་ མོ་ར་འདི་བཟུམ་གྱི་འཚབ་འཚབ་ནང་ཡོད?
Ecology is the study of living things all around us.,སྐྱེ་ལྡན་གནས་སྟངས་ཟེར་མི་འདི་ ང་བཅས་རའི་མཐའ་འཁོར་ལུ་ཡོད་པའི་འཚོ་བ་སེམས་ཅན་གྱི་སློབ་སྦྱོང་ལུ་སླབ་ཨིན།
Employees are prohibited from watching the Olympics.,ལཱ་འབད་མི་ཚུ་ ཨོ་ལོམ་པིགསི་བལྟ་ནི་ལས་བཀག་དམ་འབད་ནུག
"Even if he does something bad, he'll never admit it.",ཁོ་གི་ལཱ་ངན་ག་ཅི་ཅིག་འབད་རུང་ ཁོ་གི་མ་པ་ལས་ཁ་བཟེད་མི་བཏུབ།
Even the cleverest students can make silly mistakes.,སློབ་ཕྲུག་རིག་པ་ཅན་ཚུ་གི་ཡང་ འབྱུང་ཁུངས་མེད་པའི་འཛོལ་བ་ཚུ་འབདཝ་ཨིན་མས།
"Every year, many older people die in road accidents.",ལོ་ཨ་རྟག་ར་ མི་རྒས་ཤོས་ལེ་ཤ་ར་འཁོར་ལམ་གྱི་རྐྱེན་ངན་ལས་ཤིཝ་ཨིན་མས།
"Excuse me, what's the shortest route to the station?",བཀྲིན་བསྐྱང་ང་ ཞབས་ཏོག་ལྟེ་བ་ལུ་ལམ་ཐག་ཐུང་ཤོས་ག་ཅི་སྨོ?
Father translated the French document into Japanese.,ཨ་པ་གིས་ཕྲེརེནཆི་ཡིག་ཆ་འདི་ ཇཱ་པན་གྱི་སྐད་ཡིག་ལུ་སྐད་སྒྱུར་འབད་ནུག
Flies and mosquitoes interfered with his meditation.,ཡིག་སྣོད་དང་གཟན་དོམ་གྱིས་ ཁོ་གི་སྒོམ་ལུ་བར་ཆད་རྐྱབ་ནུག
Fluency in English is a very marketable skill today.,ཨིང་སྐད་ཤར་ཤར་འདི་ ད་རིས་བཙོང་ནི་གི་རིག་རྩལ་གནམ་མེད་ས་མེད་ཅིག་ཨིན།
"For the past 10 years, I've fed my dog dry dog food.",འདས་པའི་ལོ་༡༠་གི་རིང་ ང་གི་རོ་ཁྱི་འདི་རོ་ཁྱི་ལྟོ་བསྐམ་བྱིན་ཏེ་གསོ་སྐྱོང་འབད་ཡི།
"Frankly speaking, this novel isn't very interesting.",སྦ་གསང་མེད་པར་སླབ་པ་ཅིན་ འ་ནི་སྲུང་རྩོམ་འདི་གནམ་མེད་ས་མེད་སྤྲོ་བ་ཆེ་ཏོག་ཏོ་ཅིག་མིན་འདུག
Fresh fruit and vegetables are good for your health.,ཤིང་འབྲས་དང་ཚོད་བསྲེ་གསརཔ་ཚུ་ཁྱོ་རའི་གཟུགས་ཁམས་ལུ་ལེགས་ཤོམ་ཨིན།
Grandmother looks after the children during the day.,ཉིན་མའི་སྐབས་ ཨ་ལུ་ཚུ་ཨང་རྒས་ཀྱི་བལྟཝ་ཨིན།
Have you been told when you are expected to be here?,ཁྱོད་འདི་ནང་ནམ་རེ་ཆི་བསྐྱེདཔ་ཨིན་ན་ ཁྱོད་ལུ་སླབ་ཅི་ཡ?
Have you given any thought to having dinner with me?,ང་དང་གཅིག་ཁར་ཕྱི་རུའི་ལྟོ་ཟ་ནི་དོན་ལུ་ ཁྱོད་ཀྱི་མནོ་བསམ་ཅིག་བཏང་ལྟ་ཡི་ཡ?
He always takes his time in everything that he does.,ཁོ་གིས་དུས་ཚོད་ཚུ་ ཁོ་ར་ཨ་རྟག་ར་ག་ཅི་ར་འབད་དོ་ག་འདི་ནང་བཏང་དོ་ཡོདཔ་མས།
He buttoned up his coat before walking out the door.,སྒོ་གི་ཕྱི་ཁར་འཐོན་མ་འགྱོ་བའི་ཧེ་མ་ ཁོ་གིས་ཀོཊ་ཐུབ་ཅི་བསྡམ་ཅི།
He called in to say he could not attend the meeting.,ཁོ་གིས་བརྒྱུད་འཕྲིན་བཏང་དེས་ ཁོ་ཞལ་འཛོམས་ནང་བཅར་མི་ཚུགས་པས་ཟེར།
He came to the United States as a boy from Scotland.,ཁོ་བུཚུ་སྦེ་སྡོད་པའི་བསྒང་ ཨིསི་ཀོཊ་ལེཌ་ལས་ ཨམ་མི་རི་ཀ་ལུ་ལྷོད་ཅི།
He can do five somersaults without breaking a sweat.,ཁོ་གིས་ རྔུལ་ནག་ཚར་གཅིག་ཡང་མེད་པར་ སློག་སྒྱུར་ཚར་ལྔ་འབད་ཚུགས་པས།
"He can't do this kind of work, and she can't either.",ཁོ་གི་ལཱ་འདི་བཟུམ་འབད་མི་ཚུགས་དང་ མོ་གི་ཡང་འབད་མི་ཚུགས།
He checked the calculations again just to make sure.,ཁོ་གིས་རྩིས་ད་རུང་ཞིབ་དཔྱད་འབད་ཡི་  ངེས་གཏན་བཟོ་ནི་དོན་ལུ་རྐྱངམ་ཅིག་ཨིན།
"He did not answer the phone, so I sent him an email.",ཁོ་གིས་བརྒྱུད་འཕྲིན་ལན་མ་རྐྱབ་ དེ་འབདཝ་ལས་ ང་གི་ཁོ་ལུ་གློག་འཕྲིན་འགྲེམས་ཡིག་གཏང་ཡི།
He died within a few days of his hundredth birthday.,ཁོ་རའི་ལོ་བརྒྱ་གཅིག་གི་སྐྱེས་སྟོན་འབད་དེ་ཉིནམ་དག་པ་ཅིག་ནང་འཁོད་ཁོ་འགྱོངས་སོང་ནུག
He ditched the car in an alley and took off running.,ཁོ་གི་སྣུམ་འཁོར་ཆུ་གཡུར་སྲང་ལམ་ནང་བཏང་ དེ་ལས་ རྒྱུག་འགྱོ་ཡི།
He expressed his feelings in the form of a painting.,ཁོ་གི་ཚོར་བ་ཚུ་ཚོན་པར་ཐོག་ལས་གསལ་སྟོན་འབད་ཡི།
He gave an explanation about why he had been absent.,ཁོ་གིས་ཁོ་ག་ཅི་སྦེ་ཆད་ཡི་ག་ ཁོ་གིས་གསལ་བཤད་བྱིན་ཡི།
He had made enemies during his early political life.,ཁོ་གི་སྲིད་དོན་གྱི་མི་ཚེ་ཐོག་མ་ནང་ དགྲ་བྱང་ཕྱད་བཟོ་ནུག།
He had no sooner arrived than he was asked to leave.,ཁོ་ལྷོད་དེ་དུས་ཚོད་གངམ་མ་འགྱོཝ་ལས་ འཐོན་འགྱོ་དགོཔ་སྦེ་སླབ་ཅི།
He has no intention to interfere with your business.,ཁོ་ལུ་ཁྱོད་ཀྱི་ཚོང་འབྲེལ་ནང་བཀག་ཆ་འབད་ནི་གི་མནོ་བསམ་མེད།
He has recently made remarkable progress in English.,ཁོ་གིས་ད་རེས་ཁམས་ཅིག་ལས་ཨིང་ལིཤ་ནང་ཁྱད་དུ་འཕགས་པའི་ཡར་རྒྱས་བཟོ་ནུག།
He hasn't been heard from since he left the country.,ཁོ་ར་རྒྱལ་ཁབ་ནང་ལས་འགྱོ་ཚར་བའི་ཤུལ་མ་ ཁོ་གི་མ་གོ་བས།
He hit the center of the target with his first shot.,ཁོ་གིས་ཀྲོབ་མདའ་དང་པ་འདི་གིས་ འབའ་གི་སྦུག་ལུ་ཕོག་ནུག།
He is a gentleman. He cannot have said such a thing.,ཁོ་ཕོ་མི་དྲགཔ་ཨིན། ཁོ་གིས་འདི་བཟུམ་མ་སླབ་འོང་།
He is by far the best baseball player at our school.,ང་བཅས་སློབ་གྲྭ་ནང་ ཁོ་བེསི་བོལ་རྩེདམོ་ནང་ལེ་ཤ་གི་རྩེད་འགྲན་པ་དྲག་ཤོས་ཨིན།
He is not the man that he was when I first knew him.,ཁོ་ང་གིས་འགོ་དང་པ་མཐོང་བའི་སྐབས་ཀྱི་ ཕོ་རྒས་འདི་མེན་པས།
He is one of the most popular students in the class.,ཁོ་ང་བཅས་སློབ་ཁང་ནང་ལས་ སློབ་ཕྲུག་ཧ་ཅང་གི་ཡོངས་གྲགས་ཅན་གཅིག་ཨིན།
He is said to have been very poor when he was young.,ཁོ་གཞོནམ་སྦེ་སྡོད་པའི་སྐབས་ གནམ་མེད་ས་མེད་ས་སྤྱང་ཀ་འབད་སྡོད་ཡི་ཟེར་སླབ་མས།
He isn't smart enough to add up numbers in his head.,ཁོ་ལུ་ ཨང་གྲངས་ཚུ་མགུ་ཏོ་ནང་བསྡོམས་ཚུགས་པའི་རིག་པ་ལངམ་སྦེ་མིན་འདུག
He left the house without so much as saying goodbye.,ཁོ་ཁྱིམ་ནང་ལས་ ལེགས་ཤོམ་སྦེ་སྡོད་ཟེར་ཡང་མངམ་མ་སླབ་པར་ཡར་སོང་ནུག
He pinched and scraped for many years to save money.,ཁོ་ཏི་རུ་བསགས་ནི་དོན་ལུ་ ལོ་ལེ་ཤ་ལག་བསྡམ་ནི་དང་ལཱ་ཁག་རྐྱབ་ཅི།
He ran away from home three times before he was ten.,ཁོ་ལོ་བཅུ་ཐམ་མ་ལངས་པའི་ཧེ་མ་ ཁྱིམ་ནང་ལས་ཚར་གསུམ་བྱོག་འགྱོ་ཡི།
"He reads French and German, not to speak of English.",ཁོ་གི་ཕྲེརེནཆི་དང་ཇཱར་མན་ལྷགཔ་ཨིན་ ཨིང་ལིཤ་མི་སླབ་ནི་དོན་ལུ།
He seldom reads an editorial and is not a book worm.,ཁོ་གིས་ཞུན་དག་པའི་དཔྱད་རྩོམ་བརྒྱ་ལམ་ལས་ལྷག་ནི་མེདཔ་དང་ དཔེ་དེབ་ལྷག་འདོད་ཅན་མེན་པས།
He sent me a letter saying that he could not see me.,ཁོ་གི་ང་མཐོང་མི་ཚུགས་པས་ཟེར་སླབ་སྦེ་ ང་ལུ་ཡི་གུ་བསྐྱལ་ནུག།
He sometimes is absent from work without good cause.,ཁོ་རེ་ཅིག་སྐབས་ རྒྱུ་རྐྱེན་ལེགས་ཤོམ་ག་ནི་ཡང་མེད་པར་ ལཱ་ནང་ཆད་ཨིན་མས།
He told the children about his adventures in Africa.,ཁོ་གིས་ཨ་ལུ་ཚུ་ལུ་ ཁོ་རའི་ཨཕ་རི་ཀ་གི་དཔའ་རྩལ་ལཱ་གི་སྐོར་ལས་སླབ་ནུག
He took a look at the newspaper before going to bed.,ཁོ་ཉལ་བར་མ་འགྱོ་བའི་ཧེ་མ་ གནས་ཚུལ་གསར་ཤོག་ལུ་བལྟ་ནུག།
He took charge of the firm after his father's death.,ཁོ་རའི་ཨ་པ་གྱོངས་པའི་ཤུལ་ལས་ ཚོང་ལས་ཀྱི་འགན་ཁག་འབག་ཡི།
He tried to approach her using every possible means.,ཁོ་གིས་འབད་ཚུགས་པའི་ཐབས་ཤེས་ཡོད་ཚད་ཅིགཔོ་ལག་ལེན་འཐབ་སྟེ་མོ་ལུ་ཉེ་བཅར་འབད་ཡི།
He was a former university professor and researcher.,ཁོ་ཧེ་མའི་གཙུག་ལག་སློབ་སྡེ་གི་མཁས་དབང་དང་ཞིབ་འཚོལ་པ་ཨིན།
He was aware of my presence but he did not greet me.,ཁོ་གི་ང་ཡོདཔ་ཤེས་ དེ་འབདཝ་ད་ ཁོ་གིས་ང་ལུ་ཁ་བཟང་མ་འབད།
He was completely cleared of the charge against him.,ཁོ་རའི་ཉེས་བཙུགས་ཐོག་ལུ་ ཁོ་གིས་ཉེས་སྐྱོན་མེདཔ་ཧིང་སང་ས་ཨིན།
He was found lying unconscious on the kitchen floor.,ཁོ་ཐབ་ཚང་གི་འཐིང་གཞི་ཐོག་ཁར་ དྲན་མེད་པར་ཉལ་སྡོདཔ་མཐོང་ནུག
He was strong enough to help his father on the farm.,ཁོ་རའི་ཨ་པ་ལུ་ཞིང་ཁར་ཆ་རོགས་འབད་ནི་གི་ ཁེ་ཀོ་ལངམ་སྦེ་འདུག
He was very kind to invite me to his birthday party.,ཁོ་རའི་སྐྱེས་ཉིནམ་གྱི་གསལ་སྟོན་ལུ་ ང་མགྱོནམོ་འབོ་མི་འདི་ཁོ་བསམ་པ་བཟང་པོ་ཨིན།
He watched after the children as they were swimming.,ཁོ་ཨ་ལུ་ཤུལ་མ་བལྟ་ཡི་ དེ་བསྒང་ཁོང་ཚུ་རྩལ་རྐྱབ་སྡོད་དེས།
He will be prosecuted to the full extent of the law.,ཁོ་ར་ཁྲིམས་ཀྱི་མདུན་སར་ ཁྲིམས་ཀྱི་ཁྱབ་ཚད་ཡོངས་རྫོགས་ཐོག་ལས་ཉེས་འཛུགས་འབད་ནི་ཨིན་མས།
He will look after the cats for me while I'm abroad.,ང་ཕྱི་རྒྱལ་ཁབ་ནང་སྡོད་པའི་སྐབས་ ཁོ་གིས་བྱི་ལུ་ཚུ་བལྟ་ནི་ཨིན།
"He worked very hard, but could make little progress.",ཁོ་ལཱ་གནམ་མེད་ས་མེད་རྩ་འགེངས་འབད་ཡི་ དེ་འབདཝ་ད་ ཡར་རྒྱས་དུམ་གྲ་ཅིག་ལས་མ་བཟོ་བས།
